factor_key,factor_group,display_name,emission_factor_value,uncertainty_low,uncertainty_high,canonical_unit,scope,gas_basis,geography,system_boundary,data_vintage_year,source_id,conversion_applied,conversion_formula,proxy_for_india,confidence_rating,verification_status,verified_at
"grid_india","electricity","Indian National Grid Electricity (Location-Based)",0.716,0.68,0.76,"tCO2e/MWh",2,"CO2e","India","location-based grid electricity","FY2023-24","SRC-CEA-V21",false,,false,"HIGH","VERIFIED_OFFICIAL","2026-09-11T20:43:51.126Z"
"fuel_diesel","fuels","Diesel / Gas Oil (Stationary Combustion)",2.684,2.61,2.75,"kgCO2e/litre",1,"CO2e","United Kingdom (used as stationary combustion reference)","direct combustion (Scope 1)",2026,"SRC-DESNZ-2026",false,,true,"HIGH","VERIFIED_OFFICIAL","2026-09-11T20:43:51.126Z"
"fuel_natural_gas","fuels","Natural Gas (Gross CV)",2.023,1.93,2.12,"kgCO2e/Sm3",1,"CO2e","United Kingdom / International Standard","direct combustion (Scope 1)",2026,"SRC-DESNZ-2026",false,,true,"HIGH","VERIFIED_OFFICIAL","2026-09-11T20:43:51.126Z"
"fuel_lpg","fuels","Liquefied Petroleum Gas (LPG)",2.939,2.87,3.01,"kgCO2e/kg",1,"CO2e","United Kingdom / International Standard","direct combustion (Scope 1)",2026,"SRC-DESNZ-2026",false,,true,"HIGH","VERIFIED_OFFICIAL","2026-09-11T20:43:51.126Z"
"fuel_furnace_oil","fuels","Residual Fuel Oil / Furnace Oil",3.148,3.05,3.25,"kgCO2e/kg",1,"CO2e","International","direct combustion (Scope 1)",2019,"SRC-IPCC-2019",true,"(source_value * ncv_tj_per_gg) / 1000",false,"HIGH","VERIFIED_OFFICIAL","2026-09-11T20:43:51.126Z"
"fuel_indian_coal","fuels","Indian Non-Coking Industrial Coal (G11-G13 Blended Grade)",1.504,1.35,1.85,"tCO2e/t",1,"CO2e","India","direct combustion (Scope 1)",2024,"SRC-IPCC-2019",true,"(source_value * ncv_GJ_per_t / 1000) / 1000",false,"HIGH","DERIVED_TRANSPARENT","2026-09-11T20:43:51.126Z"
"fuel_biomass_briquette","fuels","Agricultural Residue Briquette (Non-CO2 Scope 1 Combustion)",0.058,0.02,0.11,"tCO2e/t",1,"CH4 and N2O only (CO2 biogenic memo reported separately)","India","direct combustion (Scope 1 non-CO2)",2024,"SRC-GHGP-CORP",true,"((ch4_kg_tj * gwp_ch4 + n2o_kg_tj * gwp_n2o) * ncv_gj_t / 1000) / 1000",false,"HIGH","VERIFIED_METHODOLOGY","2026-09-11T20:43:51.126Z"
"mat_aluminium_primary","materials","Primary Aluminium Ingot",13.1,11.5,14.8,"tCO2e/t",3,"CO2e","Global / Asia Average","cradle-to-gate (smelting + refining + anode)",2022,"SRC-IAI-2022",false,,true,"HIGH","VERIFIED_INDUSTRY_LCI","2026-09-11T20:43:51.126Z"
"mat_aluminium_secondary","materials","Secondary / Recycled Aluminium Ingot",0.62,0.5,0.75,"tCO2e/t",3,"CO2e","Global","gate-to-gate (scrap collection, sorting, remelting)",2022,"SRC-IAI-2022",false,,true,"HIGH","VERIFIED_INDUSTRY_LCI","2026-09-11T20:43:51.126Z"
"mat_steel_primary","materials","Hot Rolled Coil Steel (Primary Blast Furnace-Basic Oxygen Furnace)",2.24,1.95,2.55,"tCO2e/t",3,"CO2e","Global average","cradle-to-gate",2024,"SRC-WORLDSTEEL-2026",false,,true,"HIGH","VERIFIED_INDUSTRY_LCI","2026-09-11T20:43:51.126Z"
