sector_key,sector_name,primary_clusters,cluster_count,electricity_sec_low_kwh_per_t,electricity_sec_median_kwh_per_t,electricity_sec_high_kwh_per_t,thermal_sec_low_gj_per_t,thermal_sec_median_gj_per_t,thermal_sec_high_gj_per_t,gate_to_gate_carbon_low_tco2e_per_t,gate_to_gate_carbon_median_tco2e_per_t,gate_to_gate_carbon_high_tco2e_per_t,benchmark_status,regulatory_flags_count,regulatory_flags_list,demo_company_name,demo_annual_output_tonnes,demo_revenue_inr_crores,demo_reported_footprint_tco2e,demo_is_synthetic
"textile_dyeing","Textile Dyeing & Finishing","Tirupur (Tamil Nadu); Surat (Gujarat)",2,850,1200,1650,18,24.5,32,2.2,3.1,4.2,"VERIFIED_OFFICIAL_SCREENING",1,"State PCB Zero Liquid Discharge (ZLD) Mandate","Tirupur Processors Pvt Ltd",3600,42,24069,true
"foundry_casting","Cast Iron & Steel Foundry","Coimbatore (Tamil Nadu); Rajkot (Gujarat); Kolhapur (Maharashtra)",3,620,850,1100,8.5,12,16.5,1.1,1.6,2.3,"VERIFIED_OFFICIAL_SCREENING",2,"CPCB Hazardous Waste Authorisation (Used Foundry Sand); EU CBAM Annex I Covered Product (Iron & Steel / Aluminium)","Rajkot Auto Castings",7200,58,18786,true
"ceramics","Ceramic Floor & Wall Tiles","Morbi (Gujarat); Kadi (Gujarat)",2,140,190,260,4.8,6.5,8.5,0.55,0.72,0.95,"VERIFIED_OFFICIAL_SCREENING",0,"","Morbi Vitrified Ceramics Ltd",32000,75,26075,true
"food_processing","Food Processing & Packaged Goods","Anand (Gujarat); Pune (Maharashtra)",2,280,420,580,3.2,4.8,6.8,0.45,0.65,0.88,"VERIFIED_OFFICIAL_SCREENING",1,"CPCB Plastic Waste Management Rules 2016 / EPR Registration","Western Agro Foods",12000,48,7623,true
"auto_components","Automotive Precision Machining & Forging","Pune (Maharashtra); Chennai (Tamil Nadu); Gurugram (Haryana)",3,750,1050,1450,5.5,8,11.5,1.1,1.5,2.1,"VERIFIED_OFFICIAL_SCREENING",1,"EU CBAM Annex I Covered Product (Iron & Steel / Aluminium)","Precision Auto Drives",4500,65,11807,true
"pharma_formulation","Pharmaceutical Formulations","Baddi (Himachal Pradesh); Ahmedabad (Gujarat); Hyderabad (Telangana)",3,1200,1800,2500,8,12.5,18,1.6,2.4,3.4,"VERIFIED_OFFICIAL_SCREENING",1,"GMP Pharmacopeia Primary Packaging Constraints (rPET Blocked)","Auro Healthcare Formulations",1800,55,7127,true
"plastic_moulding","Polymer Injection & Blow Moulding","Daman (DNH & Daman); Ahmedabad (Gujarat)",2,850,1150,1550,1,2,3.5,0.75,0.98,1.35,"VERIFIED_OFFICIAL_SCREENING",1,"CPCB Plastic Waste Management Rules 2016 / EPR Registration","Daman Polymers Ltd",3800,34,8053,true
"paper_packaging","Kraft Paper & Corrugated Packaging","Vapi (Gujarat); Muzaffarnagar (Uttar Pradesh)",2,450,620,850,12,16.5,22,1.4,1.9,2.7,"VERIFIED_OFFICIAL_SCREENING",0,"","Vapi Paper Mills",8500,46,13960,true
"fabrication","Structural & Heavy Fabrication","Faridabad (Haryana); Peenya (Karnataka)",2,350,520,750,2.5,4,6,0.55,0.78,1.1,"VERIFIED_OFFICIAL_SCREENING",0,"","Haryana Heavy Structures",3200,38,5169,true
"chemicals","Specialty Chemicals & Intermediates","Ankleshwar (Gujarat); Dahej (Gujarat)",2,650,950,1350,9,13.5,19,1.3,1.8,2.6,"VERIFIED_OFFICIAL_SCREENING",0,"","Ankleshwar Organics",2400,52,7458,true
