intervention_id,intervention_name,category,target_stream,abatement_low_fraction,abatement_base_fraction,abatement_high_fraction,abatement_unit,abatement_source_id,capex_basis,capex_inr,savings_model,asset_lifetime_years,max_substitution_fraction,blocked_sectors,sector_caps,difficulty_score_1_to_5,disruption_downtime_days,confidence_tier,planning_grade_capex,actual_vendor_quote_required
INT-COMP-AIR,Compressed Air Ultrasonic Leak Detection & Tagged Repair,energy,electricity,NaN,NaN,NaN,fraction_of_stream,SRC-SIDHIEE-2025,undefined,,undefined,NaN,NaN,{},{},1,0,TIER_A_PRIMARY_DPR,true,true
INT-VFD,Variable Frequency Drives on Draft Fans and Pumping Loops,energy,electricity,NaN,NaN,NaN,fraction_of_stream,SRC-SIDHIEE-2025,undefined,,undefined,NaN,NaN,{},{},2,0,TIER_A_PRIMARY_DPR,true,true
INT-IE4-MOTOR,IE4 Super Premium Efficiency Motor Retrofits,energy,electricity,NaN,NaN,NaN,fraction_of_stream,SRC-SIDHIEE-2025,undefined,,undefined,NaN,NaN,{},{},2,0,TIER_A_PRIMARY_DPR,true,true
INT-LED-LIGHTING,Industrial High-Bay LED Retrofit & Occupancy Sensors,energy,electricity,NaN,NaN,NaN,fraction_of_stream,SRC-SIDHIEE-2025,undefined,,undefined,NaN,NaN,{},{},1,0,TIER_A_PRIMARY_DPR,true,true
INT-IDLE-SHUTDOWN,Automated Non-Operational Load Interlocking & Sub-metering,energy,electricity,NaN,NaN,NaN,fraction_of_stream,SRC-SIDHIEE-2025,undefined,,undefined,NaN,NaN,{},{},1,0,TIER_A_PRIMARY_DPR,true,true
INT-SOLAR-ROOFTOP,Captive Rooftop Solar PV Installation,energy,electricity,NaN,NaN,NaN,fraction_of_stream,SRC-SIDHIEE-2025,undefined,,undefined,NaN,NaN,{},{},3,0,TIER_A_PRIMARY_DPR,true,true
INT-OPEN-ACCESS,Group Captive / Green Open Access PPA,energy,electricity,NaN,NaN,NaN,fraction_of_stream,SRC-SIDHIEE-2025,undefined,,undefined,NaN,NaN,{},{},4,0,TIER_A_PRIMARY_DPR,true,true
INT-BOILER-ECONOMIZER,Flue Gas Waste Heat Recovery Economizer for Steam Boiler,energy,thermal_fuel,NaN,NaN,NaN,fraction_of_stream,SRC-SIDHIEE-2025,undefined,,undefined,NaN,NaN,{},{},2,0,TIER_A_PRIMARY_DPR,true,true
INT-STEAM-TRAP,"Steam Trap Maintenance, Acoustic Testing & Insulation",energy,thermal_fuel,NaN,NaN,NaN,fraction_of_stream,SRC-SIDHIEE-2025,undefined,,undefined,NaN,NaN,{},{},1,0,TIER_A_PRIMARY_DPR,true,true
INT-WHR-KILN,Hot Air Recirculation & Kiln Waste Heat Recovery,energy,thermal_fuel,NaN,NaN,NaN,fraction_of_stream,SRC-SIDHIEE-2025,undefined,,undefined,NaN,NaN,{},{},3,0,TIER_A_PRIMARY_DPR,true,true
INT-BIOMASS-SWITCH,Fuel Switch from Coal to Agricultural Residue Briquettes,energy,thermal_fuel,NaN,NaN,NaN,fraction_of_stream,SRC-SIDHIEE-2025,undefined,,undefined,NaN,NaN,{},{},3,0,TIER_A_PRIMARY_DPR,true,true
INT-REC-ALUM,Secondary / Recycled Aluminium Alloy Ingot Substitution,material,mat_aluminium,NaN,NaN,NaN,fraction_of_stream,SRC-SIDHIEE-2025,undefined,,undefined,NaN,NaN,{},{},2,0,TIER_A_PRIMARY_DPR,true,true
INT-REC-STEEL,Secondary EAF / Scrap-Derived Steel Billet Substitution,material,mat_steel,NaN,NaN,NaN,fraction_of_stream,SRC-SIDHIEE-2025,undefined,,undefined,NaN,NaN,{},{},2,0,TIER_A_PRIMARY_DPR,true,true
INT-REC-COTTON,Recycled Cotton Comber Noil / Mechanically Recycled Fibre,material,mat_cotton_yarn,NaN,NaN,NaN,fraction_of_stream,SRC-SIDHIEE-2025,undefined,,undefined,NaN,NaN,{},{},3,0,TIER_A_PRIMARY_DPR,true,true
INT-RPET,Post-Consumer Recycled PET (rPET) Resin Substitution,material,mat_pet,NaN,NaN,NaN,fraction_of_stream,SRC-SIDHIEE-2025,undefined,,undefined,NaN,NaN,{},{},3,0,TIER_A_PRIMARY_DPR,true,true
INT-BLENDED-CEMENT,Portland Pozzolana Cement (PPC) / Slag Cement (PSC) Switch,material,mat_cement,NaN,NaN,NaN,fraction_of_stream,SRC-SIDHIEE-2025,undefined,,undefined,NaN,NaN,{},{},1,0,TIER_A_PRIMARY_DPR,true,true
