source_version_id,source_id,version,publication_date,valid_from,valid_to,reporting_period,retrieved_at,checksum_sha256
"VER-SRC-CEA-V21","SRC-CEA-V21","21.0 / 22.0","2025-12-01","2025-12-01",,"FY2023-24 to FY2024-25","2026-09-12T02:08:48.467Z","f2341efe03d2fce4177a4a7090b8a946a5ac5ae32b41d784882d0226f2eb4860"
"VER-SRC-DESNZ-2026","SRC-DESNZ-2026","2026.1","2026-06-01","2026-06-01",,"Calendar Year 2026","2026-09-12T02:08:48.473Z","a9a455ab396dae226d510c7be6233748416d490c41a5d20f3dc7a0c45feecd5e"
"VER-SRC-IPCC-2019","SRC-IPCC-2019","2019 Refinement","2019-05-12","2019-05-12",,"2019-current","2026-09-12T02:08:48.475Z","11da7c242c452d4133c0234c2c4c047ed770af8c7e7f88c123e5c96d7973fab1"
"VER-SRC-GHGP-CORP","SRC-GHGP-CORP","Revised Edition","2015-03-01","2015-03-01",,"Standard in force","2026-09-12T02:08:48.475Z","cfcda4dd20a0b0936b30e5e5c7c635c26efdfa770d29c1004f549bf082c0fe3c"
"VER-SRC-WORLDSTEEL-2026","SRC-WORLDSTEEL-2026","2026 Release (2024 Data)","2026-04-15","2026-04-15",,"2024-2026","2026-09-12T02:08:48.488Z","99cfabb61b35a36561a98c130017a16c2be4b790ed750a93dcb1ca95f6d78daf"
"VER-SRC-WORLDSTEEL-2025","SRC-WORLDSTEEL-2025","2025 Release","2025-04-15","2025-04-15",,"2024-2025","2026-09-12T02:08:48.490Z","99cfabb61b35a36561a98c130017a16c2be4b790ed750a93dcb1ca95f6d78daf"
"VER-SRC-IAI-2022","SRC-IAI-2022","2022 / 2024 Update","2022-04-20","2022-04-20",,"2020-2024","2026-09-12T02:08:48.491Z","86b9eaf43c6bd62b6109a47acafa65a266503dcc9df7ab51d5cbeabe4cedcdb3"
"VER-SRC-IAI-2024","SRC-IAI-2024","2024.1","2024-11-20","2024-11-20",,"2023-2024","2026-09-12T02:08:48.492Z","86b9eaf43c6bd62b6109a47acafa65a266503dcc9df7ab51d5cbeabe4cedcdb3"
"VER-SRC-TEXTILE-2026","SRC-TEXTILE-2026","2026 Update","2026-02-10","2026-02-10",,"2025-2026","2026-09-12T02:08:48.493Z","e024abd06a60f388c7006599b71faf56d7813b64b044353f077b289321fd8b14"
"VER-SRC-PLASTICSEUROPE-2024","SRC-PLASTICSEUROPE-2024","Eco-profile 2024","2024-05-18","2024-05-18",,"2023-2024","2026-09-12T02:08:48.493Z","dab0e7bd7aee498681f16b3a6e2d5d95ed0f025543ef4a8d8a50dba8f93258fb"
"VER-SRC-GCCA-2023","SRC-GCCA-2023","EPD Tool v4.0 & IS 1489:2015","2023-07-01","2023-07-01",,"2023-2026","2026-09-12T02:08:48.494Z","0a8ef1630fa561f57c3e32455f32e554c947deee88212f49761722509581104d"
"VER-SRC-CEPI-2020","SRC-CEPI-2020","2020 / 2024 Framework","2020-10-15","2020-10-15",,"2020-2024","2026-09-12T02:08:48.520Z","488c63d62daab596f4b29331e2f1014c1776070a8a10abcb256a25d7b276877e"
"VER-SRC-CEPI-2024","SRC-CEPI-2024","2024 Framework","2024-03-22","2024-03-22",,"2023-2024","2026-09-12T02:08:48.521Z","488c63d62daab596f4b29331e2f1014c1776070a8a10abcb256a25d7b276877e"
"VER-SRC-FEVE-2020","SRC-FEVE-2020","2020 / 2024 Glass LCA","2020-05-10","2020-05-10",,"2020-2024","2026-09-12T02:08:48.522Z","b393f87629eab14f29e6724196de2f35018c25782a650634d0359185dab1dadd"
"VER-SRC-FEVE-2024","SRC-FEVE-2024","2024 Glass LCA","2024-01-15","2024-01-15",,"2023-2024","2026-09-12T02:08:48.522Z","b393f87629eab14f29e6724196de2f35018c25782a650634d0359185dab1dadd"
"VER-SRC-BEE-MAPPING","SRC-BEE-MAPPING","2024 Consolidated Cluster Manual","2024-08-30","2024-08-30",,"2022-2024","2026-09-12T02:08:48.523Z","bf0ee098dbba2438cfd056f5a7fe90187d92d61195dd59b01b4226ff09084663"
"VER-SRC-BEE-MSME-2024","SRC-BEE-MSME-2024","2024 Consolidated Cluster Manual","2024-08-30","2024-08-30",,"2022-2024","2026-09-12T02:08:48.525Z","bf0ee098dbba2438cfd056f5a7fe90187d92d61195dd59b01b4226ff09084663"
"VER-SRC-BEE-SIDHIEE-ADEETIE","SRC-BEE-SIDHIEE-ADEETIE","2025.1","2025-01-20","2025-01-20",,"2023-2025","2026-09-12T02:08:48.526Z","c1580139e6368f3d6608e2046c8c7c395167a073ec98b6049ce2f563d372b638"
"VER-SRC-SIDHIEE-2025","SRC-SIDHIEE-2025","2025.1","2025-01-20","2025-01-20",,"2023-2025","2026-09-12T02:08:48.527Z","c1580139e6368f3d6608e2046c8c7c395167a073ec98b6049ce2f563d372b638"
"VER-SRC-BIS-STANDARDS","SRC-BIS-STANDARDS","IS 1489:2015 & IS 455:2015","2015-08-01","2015-08-01",,"Active","2026-09-12T02:08:48.528Z","c18fa76579355947f02dcb628ce687c6d6a98a3288ae550b3a5fc6b9cb7b6091"
"VER-SRC-IEC-60034","SRC-IEC-60034","Edition 2.0 / IS 12615:2018","2025-02-14","2025-02-14",,"Active","2026-09-12T02:08:48.530Z","4f3733bc97a2ff60183662cbe4f12bed7417e30f26c5f5e4b0627ead91886a76"
"VER-SRC-IEC-BIS-MOTORS","SRC-IEC-BIS-MOTORS","2025 Reaffirmed / Edition 1.1","2025-02-14","2025-02-14",,"Active Standards","2026-09-12T02:08:48.532Z","4f3733bc97a2ff60183662cbe4f12bed7417e30f26c5f5e4b0627ead91886a76"
"VER-SRC-SFC-INDIA-2026","SRC-SFC-INDIA-2026","v3.0 India Addendum","2024-09-10","2024-09-10",,"2024-2026","2026-09-12T02:08:48.534Z","b56672bbb8f2efaa9700568136796cd47bd33b0d9076bf879e36ec384460d447"
"VER-SRC-GLEC-INDIA-2024","SRC-GLEC-INDIA-2024","v3.0 India Addendum","2024-09-10","2024-09-10",,"2024-2026","2026-09-12T02:08:48.535Z","b56672bbb8f2efaa9700568136796cd47bd33b0d9076bf879e36ec384460d447"
"VER-SRC-SEBI-BRSR-2025","SRC-SEBI-BRSR-2025","SEBI Circular 2024/2025","2025-03-15","2025-03-15",,"Mandatory Top 250 / Voluntary Value Chain FY2025-26","2026-09-12T02:08:48.536Z","78115158d76e0af1ceea20f64774660dca440736d934de26b28bc0f22cf05374"
"VER-SRC-EU-CBAM-2026","SRC-EU-CBAM-2026","Regulation (EU) 2023/956","2025-11-01","2025-11-01",,"Definitive Period Entry 2026","2026-09-12T02:08:48.537Z","79c46bae89caa7963992d41cd2e6c79cd057f9255861bbc581ef3c320631b726"
"VER-SRC-CPCB-RULES","SRC-CPCB-RULES","Notifications 2016-2024","2024-04-01","2024-04-01",,"Statutory Rules Active","2026-09-12T02:08:48.538Z","6b141bbabfa217b41a4486eee384fda5ea0c4ed65ec614d68cd2eef2fad77918"
"VER-SRC-MOEFCC-ASH","SRC-MOEFCC-ASH","S.O. 5481(E) as amended","2021-12-31","2021-12-31",,"Mandatory Ongoing","2026-09-12T02:08:48.538Z","6ea8dbc19c44e90e6f4cbc5692021cc6e197afb4ec79cf1e26f2f56109ce9ec2"
"VER-SRC-BEE-AUDITORS-ESCO","SRC-BEE-AUDITORS-ESCO","2025-2026 Directory","2025-06-30","2025-06-30",,"Active","2026-09-12T02:08:48.539Z","bf0ee098dbba2438cfd056f5a7fe90187d92d61195dd59b01b4226ff09084663"
"VER-SRC-BEE-CCTS-2025","SRC-BEE-CCTS-2025","CCTS 2023-2025 Notifications","2025-05-18","2025-05-18",,"Compliance Cycle 2025-2026","2026-09-12T02:08:48.541Z","bf0ee098dbba2438cfd056f5a7fe90187d92d61195dd59b01b4226ff09084663"
