factor_id,name,category,scope,base,low,high,unit,gas,gwp_version,geography,proxy_for_india,system_boundary,functional_unit,source_id,source_record,source_value,source_unit,data_year,conversion_applied,conversion_formula,quality_grade,verification_status
"EF-ELEC-IND-GRID","Indian National Grid Electricity (Location-Based)","electricity",2,0.716,0.68,0.76,"tCO2e/MWh","CO2e","AR5","India",false,"location-based grid generation","1 MWh consumed","SRC-CEA-V21","User Guide v21.0 Table 1: Weighted Average Emission Factor (incl. RES)",0.716,"tCO2/MWh",2024,false,,"HIGH","VERIFIED_OFFICIAL"
"EF-FUEL-DIESEL","Diesel / Gas Oil (Stationary Combustion)","fuel",1,2.684,2.61,2.75,"kgCO2e/litre","CO2e","AR5","India / UK Standard Proxy",true,"direct combustion (Scope 1)","1 litre combusted","SRC-DESNZ-2026","DESNZ 2026 Flat Format: Gaseous/Liquid fuels - Diesel",2.684,"kgCO2e/litre",2026,false,,"HIGH","VERIFIED_OFFICIAL"
"EF-FUEL-NATGAS","Natural Gas (Gross CV)","fuel",1,2.023,1.93,2.12,"kgCO2e/Sm3","CO2e","AR5","India / International Proxy",true,"direct combustion (Scope 1)","1 Sm3 combusted","SRC-DESNZ-2026","DESNZ 2026 Flat Format: Gaseous fuels - Natural gas",2.023,"kgCO2e/m3",2026,false,,"HIGH","VERIFIED_OFFICIAL"
"EF-FUEL-LPG","Liquefied Petroleum Gas (LPG)","fuel",1,2.939,2.85,3.02,"kgCO2e/kg","CO2e","AR5","India / International Proxy",true,"direct combustion (Scope 1)","1 kg combusted","SRC-DESNZ-2026","DESNZ 2026 Flat Format: Gaseous fuels - LPG",2.939,"kgCO2e/kg",2026,false,,"HIGH","VERIFIED_OFFICIAL"
"EF-FUEL-COAL-DOM","Indian Industrial Coal (Grade G11-G13 Weighted Average)","fuel",1,2.419,2.2,2.65,"tCO2e/t","CO2e","AR5","India",false,"direct combustion (Scope 1)","1 tonne combusted","SRC-IPCC-2019","2019 Refinement Vol 2 Ch 2 Table 2.2 & NCV conversion",94600,"kgCO2/TJ",2024,true,"NCV (4,000 kcal/kg) * 4.184 / 1000 = 16.74 TJ/kt; 16.74 * 94600 / 1000 = 2.419 tCO2/t","HIGH","DERIVED_TRANSPARENT"
"EF-FUEL-HFO","Furnace / Residual Fuel Oil (HFO)","fuel",1,3.178,3.05,3.3,"kgCO2e/litre","CO2e","AR5","India / International Proxy",true,"direct combustion (Scope 1)","1 litre combusted","SRC-DESNZ-2026","DESNZ 2026 Flat Format: Fuel oil",3.178,"kgCO2e/litre",2026,false,,"HIGH","VERIFIED_OFFICIAL"
"EF-FUEL-BIOMASS","Biomass Briquettes / Agricultural Bagasse","fuel",1,0.045,0.02,0.07,"tCO2e/t","CO2e (fossil transport/processing; biogenic neutral)","AR5","India",false,"combustion Scope 1 fossil fraction","1 tonne combusted","SRC-IPCC-2019","IPCC 2006/2019 Vol 2 Ch 2: Biogenic Carbon Neutrality",0.045,"tCO2e/t",2024,false,,"HIGH","VERIFIED_OFFICIAL"
"EF-MAT-STEEL-HRC","Steel Hot Rolled Coil (HRC)","material",3,2.19,2.05,2.35,"tCO2e/t","CO2e","AR5","Global / India",false,"cradle-to-gate","1 tonne product","SRC-WORLDSTEEL-2025","worldsteel LCI Eco-profile 2025",2.19,"tCO2e/t",2025,false,,"HIGH","VERIFIED_INDUSTRY_LCI"
"EF-MAT-STEEL-REBAR-BF","Steel Rebar (Virgin BF-BOF Route)","material",3,1.98,1.85,2.15,"tCO2e/t","CO2e","AR5","India",false,"cradle-to-gate","1 tonne product","SRC-WORLDSTEEL-2025","worldsteel India Rebar Study",1.98,"tCO2e/t",2025,false,,"HIGH","VERIFIED_INDUSTRY_LCI"
"EF-MAT-STEEL-REBAR-EAF","Circular Steel Rebar (100% Scrap-EAF Route)","material",3,0.45,0.38,0.55,"tCO2e/t","CO2e","AR5","India",false,"cradle-to-gate","1 tonne product","SRC-WORLDSTEEL-2025","worldsteel Circular Steel LCI",0.45,"tCO2e/t",2025,false,,"HIGH","VERIFIED_INDUSTRY_LCI"
