provider_id,name,organization,provider_type,registration_authority,registration_number,status,valid_until,coverage,availability_status
"PROV-AUD-001","Rajesh Kumar Sharma","Encon Thermal Energy Solutions LLP","ACCREDITED_ENERGY_AUDITOR","Bureau of Energy Efficiency (BEE)","AEA-0142","VERIFIED_GOVERNMENT",,"Gujarat; Western India","AVAILABLE"
"PROV-AUD-002","Anand M. Patel","GreenEdge Carbon Audits Pvt Ltd","ACCREDITED_ENERGY_AUDITOR","Bureau of Energy Efficiency (BEE)","AEA-0218","VERIFIED_GOVERNMENT",,"Gujarat; Western India","AVAILABLE"
"PROV-AUD-003","Suresh Narayanan","Vidyut Energy Services","ACCREDITED_ENERGY_AUDITOR","Bureau of Energy Efficiency (BEE)","AEA-0089","VERIFIED_GOVERNMENT",,"Maharashtra; Western India","AVAILABLE"
"PROV-AUD-004","Dr. Meenakshi Sundaram","Apex Carbon & Energy Consulting","ACCREDITED_ENERGY_AUDITOR","Bureau of Energy Efficiency (BEE)","AEA-0345","VERIFIED_GOVERNMENT",,"Tamil Nadu; Western India","AVAILABLE"
"PROV-ESCO-001","Energy Efficiency Services Limited (EESL)","Energy Efficiency Services Limited (EESL)","EMPANELLED_ESCO","Bureau of Energy Efficiency (BEE)","BEE-ESCO-G1-001","VERIFIED_GOVERNMENT","2028-12-31","National / Delhi","AVAILABLE"
"PROV-ESCO-002","Schneider Electric India ESCO Division","Schneider Electric India ESCO Division","EMPANELLED_ESCO","Bureau of Energy Efficiency (BEE)","BEE-ESCO-G1-014","VERIFIED_GOVERNMENT","2027-08-31","National / Karnataka","AVAILABLE"
"PROV-ESCO-003","Thermax Onsite Energy Solutions Ltd","Thermax Onsite Energy Solutions Ltd","EMPANELLED_ESCO","Bureau of Energy Efficiency (BEE)","BEE-ESCO-G1-007","VERIFIED_GOVERNMENT","2028-03-31","Maharashtra","AVAILABLE"
"PROV-ESCO-004","Forbes Marshall Energy Conservation Services","Forbes Marshall Energy Conservation Services","EMPANELLED_ESCO","Bureau of Energy Efficiency (BEE)","BEE-ESCO-G1-022","VERIFIED_GOVERNMENT","2027-11-30","Maharashtra / Gujarat","AVAILABLE"
"PROV-VVB-001","TUV SUD South Asia Pvt Ltd","TUV SUD South Asia Pvt Ltd","CCTS_VERIFICATION_AGENCY","Bureau of Energy Efficiency & CCTS Administrator","CCTS-VVB-003","VERIFIED_REGULATOR","2027-10-31","All India","AVAILABLE"
"PROV-VVB-002","BSI Group India","BSI Group India","CCTS_VERIFICATION_AGENCY","Bureau of Energy Efficiency & CCTS Administrator","CCTS-VVB-008","VERIFIED_REGULATOR","2026-12-31","All India","AVAILABLE"
"PROV-VVB-003","KPMG Assurance and Consulting Services LLP","KPMG Assurance and Consulting Services LLP","CCTS_VERIFICATION_AGENCY","Bureau of Energy Efficiency & CCTS Administrator","CCTS-VVB-012","VERIFIED_REGULATOR","2028-03-31","All India","AVAILABLE"
