grade,gross_calorific_value_kcal_per_kg,ncv_tj_per_ktonne,ipcc_default_factor_kg_co2_per_tj,derived_emission_factor_tco2_per_tonne,conversion_formula,status
"G1",7000,29.288,94600,2.7706,"NCV_TJ * 94600 kgCO2/TJ / 1,000,000","DERIVED_TRANSPARENT"
"G2",6700,28.0328,94600,2.6519,"NCV_TJ * 94600 kgCO2/TJ / 1,000,000","DERIVED_TRANSPARENT"
"G3",6400,26.7776,94600,2.5332,"NCV_TJ * 94600 kgCO2/TJ / 1,000,000","DERIVED_TRANSPARENT"
"G4",6100,25.5224,94600,2.4144,"NCV_TJ * 94600 kgCO2/TJ / 1,000,000","DERIVED_TRANSPARENT"
"G5",5800,24.2672,94600,2.2957,"NCV_TJ * 94600 kgCO2/TJ / 1,000,000","DERIVED_TRANSPARENT"
"G6",5500,23.012,94600,2.1769,"NCV_TJ * 94600 kgCO2/TJ / 1,000,000","DERIVED_TRANSPARENT"
"G7",5200,21.7568,94600,2.0582,"NCV_TJ * 94600 kgCO2/TJ / 1,000,000","DERIVED_TRANSPARENT"
"G8",4900,20.5016,94600,1.9395,"NCV_TJ * 94600 kgCO2/TJ / 1,000,000","DERIVED_TRANSPARENT"
"G9",4600,19.2464,94600,1.8207,"NCV_TJ * 94600 kgCO2/TJ / 1,000,000","DERIVED_TRANSPARENT"
"G10",4300,17.9912,94600,1.702,"NCV_TJ * 94600 kgCO2/TJ / 1,000,000","DERIVED_TRANSPARENT"
"G11",4000,16.736,94600,1.5832,"NCV_TJ * 94600 kgCO2/TJ / 1,000,000","DERIVED_TRANSPARENT"
"G12",3700,15.4808,94600,1.4645,"NCV_TJ * 94600 kgCO2/TJ / 1,000,000","DERIVED_TRANSPARENT"
"G13",3400,14.2256,94600,1.3457,"NCV_TJ * 94600 kgCO2/TJ / 1,000,000","DERIVED_TRANSPARENT"
"G14",3100,12.9704,94600,1.227,"NCV_TJ * 94600 kgCO2/TJ / 1,000,000","DERIVED_TRANSPARENT"
"G15",2800,11.7152,94600,1.1083,"NCV_TJ * 94600 kgCO2/TJ / 1,000,000","DERIVED_TRANSPARENT"
"G16",2500,10.46,94600,0.9895,"NCV_TJ * 94600 kgCO2/TJ / 1,000,000","DERIVED_TRANSPARENT"
"G17",2200,9.2048,94600,0.8708,"NCV_TJ * 94600 kgCO2/TJ / 1,000,000","DERIVED_TRANSPARENT"
