source_id,agency,dataset,version,url,access_method,downloaded,raw_file,sha256,download_timestamp,manual_review_required,notes
"SRC-CEA-V21","Central Electricity Authority","CO2 Baseline Database for the Indian Power Sector","21.0 / 22.0","https://cea.nic.in/wp-content/uploads/baseline/2025/12/User_Guide_V_21.0.pdf","direct_download",true,"data/raw/cea/cea_user_guide_v21.pdf","212a9f7d7a4c2502418924765288b3e4edd3a35d5a87ac87aa611819c16431fa","2026-09-12T01:56:25.483Z",false,"Official Indian national grid weighted average emission factor (0.716 tCO2/MWh baseline). State values are derived generation-mix models."
"SRC-CEA-V21","Central Electricity Authority","CO2 Baseline Database for the Indian Power Sector","21.0 / 22.0","https://cea.nic.in/wp-content/uploads/baseline/2026/09/Baseline_Carbon_Dioxide_Emission_Database_Version_22.0.xlsx","direct_download",true,"data/raw/cea/cea_baseline_v22.xlsx","f2341efe03d2fce4177a4a7090b8a946a5ac5ae32b41d784882d0226f2eb4860","2026-09-12T01:56:27.263Z",false,"Official Indian national grid weighted average emission factor (0.716 tCO2/MWh baseline). State values are derived generation-mix models."
"SRC-DESNZ-2026","UK Department for Energy Security and Net Zero (DESNZ)","Greenhouse Gas Reporting: Conversion Factors 2026","2026.1","https://assets.publishing.service.gov.uk/media/6a6c9748862aaf18d9c62ac9/ghg-conversion-factors-2026-flat-format-revised.xlsx","direct_download",false,"data/raw/desnz/desnz_ghg_conversion_factors_2026_flat.xlsx","a9a455ab396dae226d510c7be6233748416d490c41a5d20f3dc7a0c45feecd5e","2026-09-12T01:56:37.870Z",true,"Official stationary combustion conversion factors for Diesel (2.68 kgCO2e/L), Natural Gas (2.02 kgCO2e/m3 gross CV), and LPG (2.94 kgCO2e/kg)."
"SRC-DESNZ-2026","UK Department for Energy Security and Net Zero (DESNZ)","Greenhouse Gas Reporting: Conversion Factors 2026","2026.1","https://assets.publishing.service.gov.uk/media/6a2940543b15d05a7ce3202e/2026-GHG-conversion-factors-methodology-report.pdf","direct_download",true,"data/raw/desnz/desnz_2026_methodology.pdf","e15e575e3d54c75a723e32b7aebcbd4e294abe39267d585d6daa231fc5cbd7d7","2026-09-12T01:56:51.744Z",false,"Official stationary combustion conversion factors for Diesel (2.68 kgCO2e/L), Natural Gas (2.02 kgCO2e/m3 gross CV), and LPG (2.94 kgCO2e/kg)."
"SRC-IPCC-2019","Intergovernmental Panel on Climate Change (IPCC)","2019 Refinement to the 2006 IPCC Guidelines for National GHG Inventories","2019 Refinement","https://www.ipcc-nggip.iges.or.jp/public/2019rf/pdf/2_Volume2/19R_V2_Ch02_Stationary_Combustion.pdf","reference_document",false,"data/raw/ipcc/ipcc_2019_stationary_combustion_reference.json","d01036cf874f5325dbd094a6d7b9d1866730b9d392c5d5fea6e94f6fbd200883","2026-09-12T01:56:52.826Z",true,"Default emission factors for coal combustion (94,600 kgCO2/TJ), residual fuel oil (77,400 kgCO2/TJ), and first-order decay landfill methane model."
"SRC-IPCC-2019","Intergovernmental Panel on Climate Change (IPCC)","2019 Refinement to the 2006 IPCC Guidelines for National GHG Inventories","2019 Refinement","https://www.ipcc-nggip.iges.or.jp/public/2019rf/pdf/5_Volume5/19R_V5_Ch03_SWDS.pdf","reference_document",false,"data/raw/ipcc/ipcc_2019_solid_waste_disposal_reference.json","cb2b70011007d8b05d6e6712c9cb9805dc084b37306f05eb6915faacff19049e","2026-09-12T01:56:53.417Z",true,"Default emission factors for coal combustion (94,600 kgCO2/TJ), residual fuel oil (77,400 kgCO2/TJ), and first-order decay landfill methane model."
"SRC-GHGP-CORP","World Resources Institute (WRI) & WBCSD","GHG Protocol Corporate Accounting and Reporting Standard","Revised Edition","https://ghgprotocol.org/sites/default/files/standards/ghg-protocol-revised.pdf","methodology_document",true,"data/raw/ghg_protocol/ghg_protocol_corporate_standard.pdf","cfcda4dd20a0b0936b30e5e5c7c635c26efdfa770d29c1004f549bf082c0fe3c","2026-09-12T01:57:19.950Z",false,"Scope 1, 2, 3 boundary definitions, location-based Scope 2 method, biogenic CO2 reporting outside scopes."
"SRC-WORLDSTEEL-2026","World Steel Association (worldsteel)","worldsteel Life Cycle Inventory (LCI) Data","2026 Release (2024 Data)","https://worldsteel.org/wp-content/uploads/worldsteel-LCI-study-policy.pdf","industry_epd",false,"data/raw/worldsteel/worldsteel_lci_methodology_reference.json","99cfabb61b35a36561a98c130017a16c2be4b790ed750a93dcb1ca95f6d78daf","2026-09-12T01:57:21.195Z",true,"Cradle-to-gate LCI for Hot Rolled Coil (HRC: 2.20 tCO2e/t primary BF-BOF, 0.55 tCO2e/t secondary EAF scrap)."
"SRC-IAI-2022","International Aluminium Institute (IAI)","Life Cycle Inventory (LCI) Data and Environmental Metrics","2022 / 2024 Update","https://international-aluminium.org/wp-content/uploads/2021/04/IAI-Energy-Benchmark-Report.pdf","industry_report",false,"data/raw/iai/iai_aluminium_lci_summary_reference.json","86b9eaf43c6bd62b6109a47acafa65a266503dcc9df7ab51d5cbeabe4cedcdb3","2026-09-12T01:57:24.469Z",true,"Primary aluminium ingot: 13.0 tCO2e/t (cradle-to-gate); Secondary recycled ingot: 0.60 tCO2e/t (gate-to-gate remelting). 95% saving."
"SRC-TEXTILE-2026","Textile Exchange","Global Cotton Life Cycle Assessment","March 2026","https://textileexchange.org/app/uploads/2026/03/Textile-Exchange-Cotton-LCA-Summary.pdf","technical_report",false,"data/raw/textile_exchange/textile_exchange_cotton_lca_2026_reference.json","e024abd06a60f388c7006599b71faf56d7813b64b044353f077b289321fd8b14","2026-09-12T01:57:27.353Z",true,"Conventional India seed cotton to lint (1.70 tCO2e/t cradle-to-gin-gate) + spinning energy (3.80 tCO2e/t) = 5.50 tCO2e/t yarn. Recycled yarn: 1.80 tCO2e/t."
"SRC-PLASTICSEUROPE-2024","PlasticsEurope","Eco-profiles and Environmental Product Declarations of the European Plastics Industry","2024 Update","https://plasticseurope.org/wp-content/uploads/2021/10/PlasticsEurope-PET-Eco-profile-Summary.pdf","industry_epd",false,"data/raw/plasticseurope/plasticseurope_pet_ecoprofile_reference.json","dab0e7bd7aee498681f16b3a6e2d5d95ed0f025543ef4a8d8a50dba8f93258fb","2026-09-12T01:57:31.215Z",true,"Virgin PET resin: 3.00 tCO2e/t (cradle-to-gate). Mechanical rPET flakes: 1.30 tCO2e/t. 57% reduction."
"SRC-GCCA-2023","Global Cement and Concrete Association (GCCA)","GCCA Environmental Product Declaration (EPD) Tool Guidelines & Benchmarks","Version 4.0 / 2023","https://gccassociation.org/wp-content/uploads/2023/07/GCCA_EPD_Tool_eBook_2023.pdf","guidelines_and_epd",true,"data/raw/gcca/gcca_epd_tool_ebook_2023.pdf","0a8ef1630fa561f57c3e32455f32e554c947deee88212f49761722509581104d","2026-09-12T01:57:57.579Z",false,"Ordinary Portland Cement (OPC 53): 0.85 tCO2e/t. Portland Pozzolana Cement (PPC 33% fly ash): 0.55 tCO2e/t."
"SRC-CEPI-2020","Confederation of European Paper Industries (CEPI)","Framework for Carbon Footprints for Paper and Board Products","Revision 2020","https://www.cepi.org/wp-content/uploads/2020/10/Framework-for-Carbon-Footprints-for-Paper-and-Board-Products.pdf","methodology_document",false,"data/raw/cepi/cepi_carbon_footprint_framework_reference.json","488c63d62daab596f4b29331e2f1014c1776070a8a10abcb256a25d7b276877e","2026-09-12T01:57:59.256Z",true,"Virgin Kraft Paper: 1.25 tCO2e/t. 100% Recycled Containerboard / Testliner: 0.80 tCO2e/t."
"SRC-FEVE-2020","Fédération Européenne du Verre d'Emballage (FEVE)","Life Cycle Assessment of Container Glass","2020 / 2022","https://feve.org/wp-content/uploads/2020/05/FEVE_LCA_Executive_Summary.pdf","technical_study",false,"data/raw/feve/feve_glass_lca_summary_reference.json","b393f87629eab14f29e6724196de2f35018c25782a650634d0359185dab1dadd","2026-09-12T01:58:00.166Z",true,"0% cullet container glass: 1.10 tCO2e/t; EU-average (52% cullet): 0.70 tCO2e/t; 100% cullet: 0.45 tCO2e/t."
"SRC-SFC-INDIA-2026","Smart Freight Centre (SFC)","India Default GHG Emission Values for Logistics Operations V1.0 & GLEC Framework v3.1","Version 1.0 (June 2026)","https://smartfreightcentre.org/wp-content/uploads/2026/06/SFC-India-Default-Logistics-Factors-V1.pdf","technical_guidelines",false,"data/raw/sfc/sfc_india_default_freight_factors_v1_reference.json","b56672bbb8f2efaa9700568136796cd47bd33b0d9076bf879e36ec384460d447","2026-09-12T01:58:00.849Z",true,"India Heavy Commercial Vehicle (HCV diesel rigid/articulated): 0.095 kgCO2e/t-km (Well-to-Wheel). Indian Railways electric freight: 0.022 kgCO2e/t-km."
"SRC-BEE-MAPPING","Bureau of Energy Efficiency (BEE), Ministry of Power","Energy & Resource Mapping in 55 MSME Clusters","BEE MSME Programme","https://beeindia.gov.in/sites/default/files/BEE_MSME_55_Clusters_Study.pdf","government_report",true,"data/raw/bee/bee_msme_55_clusters_study.pdf","bf0ee098dbba2438cfd056f5a7fe90187d92d61195dd59b01b4226ff09084663","2026-09-12T01:58:10.486Z",false,"Specific Energy Consumption (SEC) ranges across Morbi (ceramics), Tirupur (textile), Coimbatore/Rajkot (foundry), Surat (textile), Vapi (paper)."
"SRC-BEE-SIDHIEE-ADEETIE","BEE / SIDHIEE / ADEETIE","Assistance in Deploying Energy Efficient Technologies in Industries & Establishments (ADEETIE)","2024-2026","https://adeetie.beeindia.gov.in/sites/default/files/Technology_Catalogue_2025.pdf","technology_database",false,"data/raw/sidhiee_adeetie/adeetie_energy_efficient_technologies_reference.json","c1580139e6368f3d6608e2046c8c7c395167a073ec98b6049ce2f563d372b638","2026-09-12T01:58:10.764Z",true,"BEE verified investment costs, annual energy savings %, and payback periods for VFD, IE3/IE4 motors, WHR, and boiler economizers."
"SRC-BIS-STANDARDS","Bureau of Indian Standards (BIS)","Indian Standards for Cement Specification: IS 1489 (Part 1):2015 & IS 455:2015","2015 Edition (Reaffirmed 2020)","https://www.bis.gov.in/wp-content/uploads/standards/IS_1489_Part_1_2015_Summary.pdf","technical_standard",true,"data/raw/bis/is_1489_part_1_ppc_specification.pdf","c18fa76579355947f02dcb628ce687c6d6a98a3288ae550b3a5fc6b9cb7b6091","2026-09-12T01:58:15.498Z",false,"Technical admissibility specification for 15-35% fly ash blending in Portland Pozzolana Cement and 25-70% slag in Portland Slag Cement."
"SRC-IEC-60034","International Electrotechnical Commission (IEC)","IEC 60034-30-1:2025 Rotating electrical machines – Part 30-1: Efficiency classes of line-operated AC motors","Edition 2.0 / 2025","https://webstore.iec.ch/preview/info_iec60034-30-1%7Bed2.0%7Den.pdf","technical_standard",true,"data/raw/iec/iec_60034_30_1_2025_preview.pdf","4f3733bc97a2ff60183662cbe4f12bed7417e30f26c5f5e4b0627ead91886a76","2026-09-12T01:58:16.889Z",false,"Efficiency classes IE1 (Standard), IE2 (High), IE3 (Premium), IE4 (Super Premium), and IE5 (Ultra Premium)."
"SRC-SEBI-BRSR-2025","Securities and Exchange Board of India (SEBI)","Measures to Facilitate Ease of Doing Business with respect to ESG Disclosures for Value Chain (BRSR Core)","SEBI/HO/CFD/CFD-PoD-1/P/CIR/2025/42","https://www.sebi.gov.in/sebi_data/attachdocs/mar-2025/1743160358356.pdf","regulatory_circular",false,"data/raw/sebi/sebi_brsr_value_chain_circular_2025_reference.json","78115158d76e0af1ceea20f64774660dca440736d934de26b28bc0f22cf05374","2026-09-12T01:58:17.251Z",true,"Framework for voluntary ESG assessment for supply chain partners / MSME suppliers to top 250 listed entities."
"SRC-EU-CBAM-2026","European Commission, Directorate-General for Taxation and Customs Union","Carbon Border Adjustment Mechanism (CBAM) Definitive Regime Rules & Default Values","Regulation (EU) 2023/956 & Implementing Regulations","https://taxation-customs.ec.europa.eu/system/files/2023-12/CBAM%20Guidance%20for%20importers_en.pdf","official_guidelines",false,"data/raw/cbam/cbam_importers_guidance_reference.json","79c46bae89caa7963992d41cd2e6c79cd057f9255861bbc581ef3c320631b726","2026-09-12T01:58:23.983Z",true,"Rules for covered sectors (Steel, Aluminium, Cement, Fertilizer, Hydrogen, Electricity). Indicative exposure = (Scope 1 + 2) * EU export share * certificate price."
"SRC-CPCB-RULES","Central Pollution Control Board (CPCB) & MoEFCC","Hazardous and Other Wastes Rules 2016, Solid Waste Management Rules 2016 & Plastic Waste Management EPR","Updated notifications (2016-2024)","https://cpcb.nic.in/openpdffile.php?id=TGF3c19QREZfRmlsZXMvSGF6YXJkb3VzV2FzdGVSdWxlczIwMTYucGRm","statutory_rules",true,"data/raw/cpcb/cpcb_hazardous_waste_rules_2016.pdf","6b141bbabfa217b41a4486eee384fda5ea0c4ed65ec614d68cd2eef2fad77918","2026-09-12T01:58:36.156Z",false,"Statutory requirements for hazardous core sand, spent solvent recovery, plastic waste EPR targets, and ash utilisation."
"SRC-MOEFCC-ASH","Ministry of Environment, Forest and Climate Change (MoEFCC)","Fly Ash Utilisation Notification & Amendments","S.O. 5481(E) as amended","https://moef.gov.in/wp-content/uploads/2021/12/Fly-Ash-Notification-2021.pdf","statutory_notification",false,"data/raw/moefcc/moefcc_fly_ash_notification_reference.json","6ea8dbc19c44e90e6f4cbc5692021cc6e197afb4ec79cf1e26f2f56109ce9ec2","2026-09-12T01:58:36.734Z",true,"Mandatory 100% ash utilisation in construction products within 300 km radius of thermal power stations."
