artifact_id,source_version_id,file_name,mime_type,raw_storage_path,download_url,file_size_bytes,checksum_sha256,retrieved_at
"ART-SRC-CEA-V21","VER-SRC-CEA-V21","cea_baseline_v22.xlsx","application/vnd.openxmlformats-officedocument.spreadsheetml.sheet","data/raw/cea/cea_baseline_v22.xlsx","https://cea.nic.in/cdm-co2-baseline-database/?lang=en",1009854,"f2341efe03d2fce4177a4a7090b8a946a5ac5ae32b41d784882d0226f2eb4860","2026-09-12T02:08:48.558Z"
"ART-SRC-DESNZ-2026","VER-SRC-DESNZ-2026","desnz_ghg_conversion_factors_2026_flat.xlsx","application/vnd.openxmlformats-officedocument.spreadsheetml.sheet","data/raw/desnz/desnz_ghg_conversion_factors_2026_flat.xlsx","https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2026",515426,"a9a455ab396dae226d510c7be6233748416d490c41a5d20f3dc7a0c45feecd5e","2026-09-12T02:08:48.560Z"
"ART-SRC-IPCC-2019","VER-SRC-IPCC-2019","ipcc_emission_factors_waste_energy.csv","application/json","data/raw/ipcc/ipcc_emission_factors_waste_energy.csv","https://www.ipcc-nggip.iges.or.jp/public/2019rf/",2199,"11da7c242c452d4133c0234c2c4c047ed770af8c7e7f88c123e5c96d7973fab1","2026-09-12T02:08:48.560Z"
"ART-SRC-GHGP-CORP","VER-SRC-GHGP-CORP","ghg_protocol_corporate_standard.pdf","application/pdf","data/raw/ghg_protocol/ghg_protocol_corporate_standard.pdf","https://ghgprotocol.org/corporate-standard",3680902,"cfcda4dd20a0b0936b30e5e5c7c635c26efdfa770d29c1004f549bf082c0fe3c","2026-09-12T02:08:48.571Z"
"ART-SRC-WORLDSTEEL-2026","VER-SRC-WORLDSTEEL-2026","worldsteel_lci_methodology_reference.json","application/json","data/raw/worldsteel/worldsteel_lci_methodology_reference.json","https://worldsteel.org/wider-sustainability/life-cycle-thinking/life-cycle-inventory-data-and-eco-profiles/",655,"99cfabb61b35a36561a98c130017a16c2be4b790ed750a93dcb1ca95f6d78daf","2026-09-12T02:08:48.572Z"
"ART-SRC-WORLDSTEEL-2025","VER-SRC-WORLDSTEEL-2025","worldsteel_lci_methodology_reference.json","application/json","data/raw/worldsteel/worldsteel_lci_methodology_reference.json","https://worldsteel.org/wider-sustainability/life-cycle-thinking/life-cycle-inventory-data-and-eco-profiles/",655,"99cfabb61b35a36561a98c130017a16c2be4b790ed750a93dcb1ca95f6d78daf","2026-09-12T02:08:48.573Z"
"ART-SRC-IAI-2022","VER-SRC-IAI-2022","iai_aluminium_lci_summary_reference.json","application/json","data/raw/iai/iai_aluminium_lci_summary_reference.json","https://international-aluminium.org/",708,"86b9eaf43c6bd62b6109a47acafa65a266503dcc9df7ab51d5cbeabe4cedcdb3","2026-09-12T02:08:48.574Z"
"ART-SRC-IAI-2024","VER-SRC-IAI-2024","iai_aluminium_lci_summary_reference.json","application/json","data/raw/iai/iai_aluminium_lci_summary_reference.json","https://international-aluminium.org/",708,"86b9eaf43c6bd62b6109a47acafa65a266503dcc9df7ab51d5cbeabe4cedcdb3","2026-09-12T02:08:48.575Z"
"ART-SRC-TEXTILE-2026","VER-SRC-TEXTILE-2026","textile_exchange_cotton_lca_2026_reference.json","application/json","data/raw/textile_exchange/textile_exchange_cotton_lca_2026_reference.json","https://textileexchange.org/knowledge-center/reports/cotton-life-cycle-assessment/",651,"e024abd06a60f388c7006599b71faf56d7813b64b044353f077b289321fd8b14","2026-09-12T02:08:48.576Z"
"ART-SRC-PLASTICSEUROPE-2024","VER-SRC-PLASTICSEUROPE-2024","plasticseurope_pet_ecoprofile_reference.json","application/json","data/raw/plasticseurope/plasticseurope_pet_ecoprofile_reference.json","https://plasticseurope.org/sustainability/circularity/life-cycle-thinking/eco-profiles-set/",667,"dab0e7bd7aee498681f16b3a6e2d5d95ed0f025543ef4a8d8a50dba8f93258fb","2026-09-12T02:08:48.576Z"
