factor_id,name,category,scope,base,low,high,unit,gas,gwp_version,geography,proxy_for_india,system_boundary,functional_unit,source_id,source_record,source_value,source_unit,data_year,conversion_applied,conversion_formula,quality_grade,verification_status
"EF-MAT-STEEL-HRC","Steel Hot Rolled Coil (HRC)","material",3,2.19,2.05,2.35,"tCO2e/t","CO2e","AR5","Global / India",false,"cradle-to-gate","1 tonne product","SRC-WORLDSTEEL-2025","worldsteel LCI Eco-profile 2025",2.19,"tCO2e/t",2025,false,,"HIGH","VERIFIED_INDUSTRY_LCI"
"EF-MAT-STEEL-REBAR-BF","Steel Rebar (Virgin BF-BOF Route)","material",3,1.98,1.85,2.15,"tCO2e/t","CO2e","AR5","India",false,"cradle-to-gate","1 tonne product","SRC-WORLDSTEEL-2025","worldsteel India Rebar Study",1.98,"tCO2e/t",2025,false,,"HIGH","VERIFIED_INDUSTRY_LCI"
"EF-MAT-STEEL-REBAR-EAF","Circular Steel Rebar (100% Scrap-EAF Route)","material",3,0.45,0.38,0.55,"tCO2e/t","CO2e","AR5","India",false,"cradle-to-gate","1 tonne product","SRC-WORLDSTEEL-2025","worldsteel Circular Steel LCI",0.45,"tCO2e/t",2025,false,,"HIGH","VERIFIED_INDUSTRY_LCI"
"EF-MAT-ALUM-PRIMARY","Primary Aluminium Ingot (India Grid Coal Intensive)","material",3,16.8,15.2,18.5,"tCO2e/t","CO2e","AR5","India",false,"cradle-to-gate","1 tonne product","SRC-IAI-2024","IAI Energy Benchmark Report",16.8,"tCO2e/t",2024,false,,"HIGH","VERIFIED_INDUSTRY_LCI"
"EF-MAT-ALUM-RECYCLED","Secondary Recycled Aluminium Ingot","material",3,0.62,0.5,0.75,"tCO2e/t","CO2e","AR5","India / Global",false,"cradle-to-gate","1 tonne product","SRC-IAI-2024","IAI Recycling Decarbonisation LCI",0.62,"tCO2e/t",2024,false,,"HIGH","VERIFIED_INDUSTRY_LCI"
"EF-MAT-COTTON-LINT","Conventional Indian Lint Cotton","material",3,1.43,1.25,1.65,"kgCO2e/kg","CO2e","AR5","India",false,"cradle-to-gin gate","1 kg lint","SRC-TEXTILE-2026","Textile Exchange Cotton LCA 2026",1.43,"kgCO2e/kg",2026,false,,"HIGH","VERIFIED_INDUSTRY_LCI"
"EF-MAT-COTTON-YARN","Indian Ring-Spun Cotton Yarn (Derived)","material",3,3.85,3.4,4.3,"kgCO2e/kg","CO2e","AR5","India",false,"cradle-to-yarn gate","1 kg yarn","SRC-TEXTILE-2026","Lint (1.43) + Spinning SEC (3.37 kWh/kg * 0.716 kgCO2/kWh = 2.41)",3.85,"kgCO2e/kg",2026,true,"1.43 kgCO2e/kg + (3.37 kWh/kg * 0.716 tCO2/MWh)","HIGH","DERIVED_TRANSPARENT"
"EF-MAT-PLASTIC-PET-VIRGIN","Virgin PET Granulate","material",3,2.15,2,2.3,"kgCO2e/kg","CO2e","AR5","Europe / Proxy",true,"cradle-to-gate","1 kg granulate","SRC-PLASTICSEUROPE-2024","PlasticsEurope PET Eco-profile",2.15,"kgCO2e/kg",2024,false,,"MEDIUM","VERIFIED_INDUSTRY_LCI"
"EF-MAT-PLASTIC-RPET","Circular Recycled rPET Flake","material",3,0.52,0.42,0.65,"kgCO2e/kg","CO2e","AR5","India",false,"cradle-to-gate","1 kg flake","SRC-PLASTICSEUROPE-2024","Mechanical Recycling Study",0.52,"kgCO2e/kg",2024,false,,"HIGH","VERIFIED_INDUSTRY_LCI"
"EF-MAT-CEMENT-OPC53","Ordinary Portland Cement (OPC 53)","material",3,0.83,0.78,0.88,"tCO2e/t","CO2e","AR5","India",false,"cradle-to-gate","1 tonne cement","SRC-GCCA-2023","GCCA India EPD Tool Dataset",0.83,"tCO2e/t",2024,false,,"HIGH","VERIFIED_OFFICIAL"
"EF-MAT-CEMENT-PPC","Portland Pozzolana Cement (PPC IS 1489)","material",3,0.56,0.51,0.62,"tCO2e/t","CO2e","AR5","India",false,"cradle-to-gate","1 tonne cement","SRC-GCCA-2023","IS 1489 / GCCA India EPD",0.56,"tCO2e/t",2024,false,,"HIGH","VERIFIED_OFFICIAL"
