provider_id,provider_type,organization_name,empanelment_grade,valid_until_year,headquarters_city,state,accreditation_body,verified_status
PROV-AUD-001,ACCREDITED_ENERGY_AUDITOR,Rajesh Kumar Sharma,Grade-1,2027,Delhi,National,Bureau of Energy Efficiency (BEE),ACTIVE_VALIDATED
PROV-AUD-002,ACCREDITED_ENERGY_AUDITOR,Anand M. Patel,Grade-1,2027,Delhi,National,Bureau of Energy Efficiency (BEE),ACTIVE_VALIDATED
PROV-AUD-003,ACCREDITED_ENERGY_AUDITOR,Suresh Narayanan,Grade-1,2027,Delhi,National,Bureau of Energy Efficiency (BEE),ACTIVE_VALIDATED
PROV-AUD-004,ACCREDITED_ENERGY_AUDITOR,Dr. Meenakshi Sundaram,Grade-1,2027,Delhi,National,Bureau of Energy Efficiency (BEE),ACTIVE_VALIDATED
PROV-ESCO-001,EMPANELLED_ESCO,Energy Efficiency Services Limited (EESL),Grade-1,2027,Delhi,National,Bureau of Energy Efficiency (BEE),ACTIVE_VALIDATED
PROV-ESCO-002,EMPANELLED_ESCO,Schneider Electric India ESCO Division,Grade-1,2027,Delhi,National,Bureau of Energy Efficiency (BEE),ACTIVE_VALIDATED
PROV-ESCO-003,EMPANELLED_ESCO,Thermax Onsite Energy Solutions Ltd,Grade-1,2027,Delhi,National,Bureau of Energy Efficiency (BEE),ACTIVE_VALIDATED
PROV-ESCO-004,EMPANELLED_ESCO,Forbes Marshall Energy Conservation Services,Grade-1,2027,Delhi,National,Bureau of Energy Efficiency (BEE),ACTIVE_VALIDATED
PROV-VVB-001,CCTS_VERIFICATION_AGENCY,TUV SUD South Asia Pvt Ltd,Grade-1,2027,Delhi,National,Bureau of Energy Efficiency (BEE),ACTIVE_VALIDATED
PROV-VVB-002,CCTS_VERIFICATION_AGENCY,BSI Group India,Grade-1,2027,Delhi,National,Bureau of Energy Efficiency (BEE),ACTIVE_VALIDATED
PROV-VVB-003,CCTS_VERIFICATION_AGENCY,KPMG Assurance and Consulting Services LLP,Grade-1,2027,Delhi,National,Bureau of Energy Efficiency (BEE),ACTIVE_VALIDATED
