factor_key,factor_group,display_name,emission_factor_value,uncertainty_low,uncertainty_high,canonical_unit,scope,gas_basis,geography,system_boundary,data_vintage_year,source_id,conversion_applied,proxy_for_india,confidence_rating,verification_status,verified_at_utc
grid_india,electricity,Indian National Grid Electricity (Location-Based),0.716,0.68,0.76,tCO2e/MWh,2,CO2e,India,location-based grid electricity,FY2023-24,SRC-CEA-V21,false,false,HIGH,VERIFIED_OFFICIAL,2026-09-12T02:08:48.268Z
fuel_diesel,fuels,Diesel / Gas Oil (Stationary Combustion),2.684,2.61,2.75,kgCO2e/litre,1,CO2e,United Kingdom (used as stationary combustion reference),direct combustion (Scope 1),2026,SRC-DESNZ-2026,false,true,HIGH,VERIFIED_OFFICIAL,2026-09-12T02:08:48.268Z
fuel_natural_gas,fuels,Natural Gas (Gross CV),2.023,1.93,2.12,kgCO2e/Sm3,1,CO2e,United Kingdom / International Standard,direct combustion (Scope 1),2026,SRC-DESNZ-2026,false,true,HIGH,VERIFIED_OFFICIAL,2026-09-12T02:08:48.268Z
fuel_lpg,fuels,Liquefied Petroleum Gas (LPG),2.939,2.87,3.01,kgCO2e/kg,1,CO2e,United Kingdom / International Standard,direct combustion (Scope 1),2026,SRC-DESNZ-2026,false,true,HIGH,VERIFIED_OFFICIAL,2026-09-12T02:08:48.268Z
fuel_furnace_oil,fuels,Residual Fuel Oil / Furnace Oil,3.148,3.05,3.25,kgCO2e/kg,1,CO2e,International,direct combustion (Scope 1),2019,SRC-IPCC-2019,true,false,HIGH,VERIFIED_OFFICIAL,2026-09-12T02:08:48.268Z
fuel_indian_coal,fuels,Indian Non-Coking Industrial Coal (G11-G13 Blended Grade),1.504,1.35,1.85,tCO2e/t,1,CO2e,India,direct combustion (Scope 1),2024,SRC-IPCC-2019,true,false,HIGH,DERIVED_TRANSPARENT,2026-09-12T02:08:48.268Z
fuel_biomass_briquette,fuels,Agricultural Residue Briquette (Non-CO2 Scope 1 Combustion),0.058,0.02,0.11,tCO2e/t,1,CH4 and N2O only (CO2 biogenic memo reported separately),India,direct combustion (Scope 1 non-CO2),2024,SRC-GHGP-CORP,true,false,HIGH,VERIFIED_METHODOLOGY,2026-09-12T02:08:48.268Z
mat_aluminium_primary,materials,Primary Aluminium Ingot,13.1,11.5,14.8,tCO2e/t,3,CO2e,Global / Asia Average,cradle-to-gate (smelting + refining + anode),2022,SRC-IAI-2022,false,true,HIGH,VERIFIED_INDUSTRY_LCI,2026-09-12T02:08:48.268Z
mat_aluminium_secondary,materials,Secondary / Recycled Aluminium Ingot,0.62,0.5,0.75,tCO2e/t,3,CO2e,Global,"gate-to-gate (scrap collection, sorting, remelting)",2022,SRC-IAI-2022,false,true,HIGH,VERIFIED_INDUSTRY_LCI,2026-09-12T02:08:48.268Z
mat_steel_primary,materials,Hot Rolled Coil Steel (Primary Blast Furnace-Basic Oxygen Furnace),2.24,1.95,2.55,tCO2e/t,3,CO2e,Global average,cradle-to-gate,2024,SRC-WORLDSTEEL-2026,false,true,HIGH,VERIFIED_INDUSTRY_LCI,2026-09-12T02:08:48.268Z
mat_steel_secondary,materials,Hot Rolled Coil Steel (Secondary Electric Arc Furnace Scrap-Route),0.58,0.45,0.68,tCO2e/t,3,CO2e,Global average,cradle-to-gate (100% scrap EAF route),2024,SRC-WORLDSTEEL-2026,false,true,HIGH,VERIFIED_INDUSTRY_LCI,2026-09-12T02:08:48.268Z
mat_cotton_yarn_primary,materials,Conventional Ring-Spun Cotton Yarn,5.48,4.8,6.2,tCO2e/t,3,CO2e,India,cradle-to-spinning-gate (farm + ginning + ring spinning),2026,SRC-TEXTILE-2026,true,false,HIGH,DERIVED_TRANSPARENT,2026-09-12T02:08:48.268Z
mat_cotton_yarn_recycled,materials,Mechanically Recycled Cotton Yarn Blend,1.82,1.45,2.2,tCO2e/t,3,CO2e,India,cradle-to-spinning-gate (mechanical tearing + rotor spinning),2026,SRC-TEXTILE-2026,false,false,MEDIUM,VERIFIED_INDUSTRY_LCI,2026-09-12T02:08:48.268Z
mat_pet_virgin,materials,Virgin Polyethylene Terephthalate (PET) Bottle/Packaging Resin,3.02,2.75,3.35,tCO2e/t,3,CO2e,Europe (proxy for Indian petrochemical imports),cradle-to-gate polymer resin,2024,SRC-PLASTICSEUROPE-2024,false,true,HIGH,VERIFIED_INDUSTRY_LCI,2026-09-12T02:08:48.268Z
mat_pet_recycled,materials,Post-Consumer Recycled PET (rPET) Mechanical Flakes/Pellets,1.28,1.1,1.5,tCO2e/t,3,CO2e,Europe / India,"cradle-to-gate (collection, washing, optical sorting, extrusion)",2024,SRC-PLASTICSEUROPE-2024,false,true,HIGH,VERIFIED_INDUSTRY_LCI,2026-09-12T02:08:48.268Z
mat_cement_opc,materials,Ordinary Portland Cement (OPC 53 Grade),0.852,0.8,0.92,tCO2e/t,3,CO2e,India,cradle-to-gate,2023,SRC-GCCA-2023,false,false,HIGH,VERIFIED_INDUSTRY_LCI,2026-09-12T02:08:48.268Z
mat_cement_blended,materials,Portland Pozzolana Cement (PPC) / Slag Cement (IS 1489 / IS 455),0.548,0.49,0.61,tCO2e/t,3,CO2e,India,cradle-to-gate,2023,SRC-GCCA-2023,false,false,HIGH,VERIFIED_INDUSTRY_LCI,2026-09-12T02:08:48.268Z
mat_paper_virgin,materials,Virgin Kraft Paper / Linerboard,1.24,1.1,1.4,tCO2e/t,3,CO2e,Europe / India,cradle-to-gate,2020,SRC-CEPI-2020,false,true,HIGH,VERIFIED_INDUSTRY_LCI,2026-09-12T02:08:48.268Z
mat_paper_recycled,materials,100% Recycled Testliner / Corrugated Board,0.79,0.68,0.88,tCO2e/t,3,CO2e,Europe / India,cradle-to-gate,2020,SRC-CEPI-2020,false,true,HIGH,VERIFIED_INDUSTRY_LCI,2026-09-12T02:08:48.268Z
mat_glass_virgin,materials,Virgin Container Glass (0% Cullet Melting Batch),1.12,1.02,1.22,tCO2e/t,3,CO2e,Europe (proxy for India),cradle-to-gate,2020,SRC-FEVE-2020,false,true,HIGH,VERIFIED_INDUSTRY_LCI,2026-09-12T02:08:48.268Z
mat_glass_recycled,materials,Recycled Container Glass (EU-Average 52% Cullet Blend),0.69,0.58,0.78,tCO2e/t,3,CO2e,Europe (proxy for India),cradle-to-gate,2020,SRC-FEVE-2020,false,true,HIGH,VERIFIED_INDUSTRY_LCI,2026-09-12T02:08:48.268Z
freight_road,logistics,Heavy Commercial Vehicle (HCV) Road Freight in India,0.095,0.082,0.112,kgCO2e/t-km,3,CO2e,India,well-to-wheel (WTW),2026,SRC-SFC-INDIA-2026,false,false,HIGH,VERIFIED_INDUSTRY_LCI,2026-09-12T02:08:48.268Z
freight_rail,logistics,Indian Railways Electric Freight Traction,0.0215,0.0175,0.0265,kgCO2e/t-km,3,CO2e,India,well-to-wheel (WTW electric traction),2026,SRC-SFC-INDIA-2026,false,false,HIGH,VERIFIED_INDUSTRY_LCI,2026-09-12T02:08:48.268Z
waste_landfill_organic,waste,Mixed Industrial Organic Waste to Unmanaged Deep Landfill (>5m),0.578,0.44,0.72,tCO2e/t,3,CH4 generated and uncaptured under AR6 GWP100 = 28,India,end-of-life disposal,2019,SRC-IPCC-2019,true,false,HIGH,DERIVED_TRANSPARENT,2026-09-12T02:08:48.268Z
waste_anaerobic_digestion,waste,Closed-Loop Anaerobic Digestion with Biomethane Capture,-0.118,-0.18,-0.06,tCO2e/t,3,Net balance: Avoided landfill CH4 + Biogas fossil gas offset - Parasitic load,India,circular treatment credit,2024,SRC-IPCC-2019,true,false,MEDIUM,DERIVED_TRANSPARENT,2026-09-12T02:08:48.268Z
