sector_key,sector_name,primary_clusters,cluster_count,electricity_sec_low_kwh_per_t,electricity_sec_median_kwh_per_t,electricity_sec_high_kwh_per_t,thermal_sec_low_gj_per_t,thermal_sec_median_gj_per_t,thermal_sec_high_gj_per_t,gate_to_gate_carbon_low_tco2e_per_t,gate_to_gate_carbon_median_tco2e_per_t,gate_to_gate_carbon_high_tco2e_per_t,benchmark_status,regulatory_flags_count,regulatory_flags_list,demo_company_name,demo_annual_output_tonnes,demo_revenue_inr_crores,demo_reported_footprint_tco2e,demo_is_synthetic
textile_dyeing,Textile Dyeing & Finishing,[object Object]; [object Object],2,0,0,0,0,0,0,0,0,0,VERIFIED_OFFICIAL_SCREENING,1,State PCB Zero Liquid Discharge (ZLD) Mandate,Textile Dyeing & Finishing Demo Unit,10000,50,15000,true
foundry_casting,Cast Iron & Steel Foundry,[object Object]; [object Object]; [object Object],3,0,0,0,0,0,0,0,0,0,VERIFIED_OFFICIAL_SCREENING,2,CPCB Hazardous Waste Authorisation (Used Foundry Sand); EU CBAM Annex I Covered Product (Iron & Steel / Aluminium),Cast Iron & Steel Foundry Demo Unit,10000,50,15000,true
ceramics,Ceramic Floor & Wall Tiles,[object Object]; [object Object],2,0,0,0,0,0,0,0,0,0,VERIFIED_OFFICIAL_SCREENING,0,,Ceramic Floor & Wall Tiles Demo Unit,10000,50,15000,true
food_processing,Food Processing & Packaged Goods,[object Object]; [object Object],2,0,0,0,0,0,0,0,0,0,VERIFIED_OFFICIAL_SCREENING,1,CPCB Plastic Waste Management Rules 2016 / EPR Registration,Food Processing & Packaged Goods Demo Unit,10000,50,15000,true
auto_components,Automotive Precision Machining & Forging,[object Object]; [object Object]; [object Object],3,0,0,0,0,0,0,0,0,0,VERIFIED_OFFICIAL_SCREENING,1,EU CBAM Annex I Covered Product (Iron & Steel / Aluminium),Automotive Precision Machining & Forging Demo Unit,10000,50,15000,true
pharma_formulation,Pharmaceutical Formulations,[object Object]; [object Object]; [object Object],3,0,0,0,0,0,0,0,0,0,VERIFIED_OFFICIAL_SCREENING,1,GMP Pharmacopeia Primary Packaging Constraints (rPET Blocked),Pharmaceutical Formulations Demo Unit,10000,50,15000,true
plastic_moulding,Polymer Injection & Blow Moulding,[object Object]; [object Object],2,0,0,0,0,0,0,0,0,0,VERIFIED_OFFICIAL_SCREENING,1,CPCB Plastic Waste Management Rules 2016 / EPR Registration,Polymer Injection & Blow Moulding Demo Unit,10000,50,15000,true
paper_packaging,Kraft Paper & Corrugated Packaging,[object Object]; [object Object],2,0,0,0,0,0,0,0,0,0,VERIFIED_OFFICIAL_SCREENING,0,,Kraft Paper & Corrugated Packaging Demo Unit,10000,50,15000,true
fabrication,Structural & Heavy Fabrication,[object Object]; [object Object],2,0,0,0,0,0,0,0,0,0,VERIFIED_OFFICIAL_SCREENING,0,,Structural & Heavy Fabrication Demo Unit,10000,50,15000,true
chemicals,Specialty Chemicals & Intermediates,[object Object]; [object Object],2,0,0,0,0,0,0,0,0,0,VERIFIED_OFFICIAL_SCREENING,0,,Specialty Chemicals & Intermediates Demo Unit,10000,50,15000,true
